row_id,내용,상세내용,주장/검증 매체,label
20,원전 오염수를 방류하기 시작하면 우리 국민의 먹거리 안전이 위험해진다,"['오염수', '삼중수소', '방류', '농도', '피폭', '민주당', '후쿠시마', '방출', '원전', '우려', '수준', '일본', '탱크', '태평양', '한국', '방사성', '국제', '대한', '수산물', '국민', '안전', '정부', '저장', '보관', '계획', '제기', '원자력', '국내', '해역', '보고서', '방사선', '유입', '전체', '준치', '영향']",더불어민주당 후쿠시마오염수방출저지대응단 & 윤재갑,0
21,가루쌀은 겉은 쌀인데 밀과 똑같다,"['가루', '식량', '가공', '산업', '농식품부', '제분', '비량', '인터뷰', '일반', '비용', '활성화', '정부', '수입', '대체', '공급', '발언', '활용', '전분', '양곡', '수급', '안정', '대책', '장관', '밀가루', '국내', '개발', '재배', '품종', '자급', '장점', '농림', '식품', '연간', '검증', '통계청', '농촌진흥청', '국립', '학원', '구조']",정황근,0
22,외국인 노동자가 내국인 일자리를 빼앗고 있다,"['위험', '미국', '하루', '사망', '연구', '이상', '걸음', '성인', '보건', '결과', '보도', '연관', '보고서', '협회', '사람', '건강', '일주일', '정도', '지난', '중년', '크게', '사망률', '발표', '검증', '조사', '혈관', '뉴스', '일일', '패턴', '란셋', '공공', '매사추세츠', '애머스트', '아이', '하버드대', '대학원', '교수', '의학', '논문', '효과', '평균', '질환', '경우', '고령', '여성']",언론사 자체 문제 제기,0
23,한국의 예금자 보호 정도는 해외 주요국과 비교했을때 미흡하다,"['예금', '보호', '은행', '금융', '보험', '미국', '한도', '비교', '규모', '한국', '주요', '국가', '파산', '해외', '회사', '금액', '상품', '상업', '실리콘밸리', '공사', '제도', '통해', '전액', '보증', '위기', '경제', '국내', '현재', '대비', '상황', '대해', '고객', '관련', '역시', '가입', '수준', '영국', '보장', '기준', '검증', '대상', '화면', '캡처']",언론사 자체 문제제기,1
24,주 69시간 근로시간제도 개편 2030 청년층은 좋아한다,"['근로시간', '제도', '개편', '세대', '청년', '국민', '일종', '반대', '의견', '검토', '정책', '의장', '나와라', '권리', '의식', '새로고침', '근로', '내용', '정부', '최대', '지난', '관련', '노조', '확대', '입장', '대통령', '지시', '주장', '전경련', '대도', '검증']",성일종,0
25,난방비 폭탄은 문재인 정부의 탈원전 때문이다,"['난방', '원전', '요금', '인상', '전기', '도시가스', '정부', '한국', '문재인', '가정', '에너지', '요인', '세계', '보일러', '수급', '증가', '주장', '검증', '정책', '대부분', '차지', '천연가스', '수입', '외부', '급등', '발전', '주요', '원인', '폐기', '통해', '윤석열', '부담', '전가', '사실', '입국', '비중', '장기', '계획', '김기현', '의원', '가격', '유럽', '지난해', '가스']",김기현,0
26,노조가 정부 보조금 사용 내역 공개를 거부했다,"['정부', '노조', '노총', '사용', '회계', '보조금', '국민', '제출', '공개', '거부', '대통령', '원금', '투명', '조합원', '자료', '윤석열', '지원', '노동조합', '문제', '세인', '주장', '발언', '감사', '보고', '검증', '지자체']",윤석열,0
27,윤석열 대통령이 자동차세 연납 할인 혜택 축소했다,"['할인', '금리', '자동차세', '시행', '지방', '정부', '축소', '세법', '윤석열', '대통령', '올해', '부터', '시민', '정권', '제외', '실제', '혜택', '지자체', '검증', '제도', '인터뷰', '신설', '당시']",인터넷 커뮤니티,0
28,서울시 택시비 인상 따른 교통비 문제 대안 마련했다,"['택시', '서울시', '인상', '요금', '버스', '부담', '노선', '심야', '대안', '마련', '이용', '지출', '정책', '운행', '부터', '공공', '겹치', '서민', '시민', '운영', '시간', '운송', '기존', '야간', '통계청', '가계', '소득', '교통비', '대비', '증가', '증차', '교통', '상황', '서울특별시', '사업', '조합', '결과', '검증', '담당자', '인터뷰', '올빼미', '지하철', '거리', '할증', '분석', '연장', '지난해']",언론사 자체 문제 제기,1
29,번개탄 생산 금지는 자살 예방 대책이다,"['자살', '개탄', '금지', '생산', '화제', '예방', '산화', '사용', '물건', '발표', '위해', '정부', '보건복지부', '유해', '번개', '성형', '지난', '기준', '자료', '관리', '강화', '대체재', '자살률', '대책', '산림청', '기본', '계획', '공청회', '수단', '인체', '개발', '보급', '처럼', '판매', '모두', '부수', '함량', '질산', '바륨', '빈번', '농약', '친환경', '내용', '포함', '보도', '논란', '관련', '사실']",보건복지부,0
30,우크라 전쟁 1주년민간인 공격 안한다는 푸틴 약속 지켜졌나,"['민간인', '러시아', '우크라이나', '러시아군', '대통령', '공격', '푸틴', '쇼핑', '센터', '부차', '지난해', '전쟁', '해당', '발견', '시신', '보도', '지역', '블라디미르', '당시', '정황', '최소', '명의', '사실', '공식', '점령', '주장', '격납고', '학살']",블라디미르 푸틴,0
31,5인 미만 사업장 근로기준법 적용으로 소상공입 폐업으로 내몰린다,"['규정', '사업', '적용', '근로기준법', '자영', '업자', '미만', '해고', '폐업', '보고', '근로', '연차', '휴가', '검증', '대통령', '업무', '연장', '야간', '휴일', '가산', '수당', '지급', '영상', '이유', '제한', '부당', '구제', '신청', '정부', '커뮤니티', '계획', '범위', '확대', '유급', '이하', '언론사', '국민', '인터뷰', '코로나', '직원', '사장', '추진']",언론보도 및 인터넷 커뮤니티,1
32,집값 급등은 정부 정책 탓이고 집값 하락은 금리 탓이다,"['금리', '집값', '주택', '기준금리', '정부', '언론', '영향', '가격', '보도', '정책', '대출', '폭등', '규제', '하락', '상승', '지난', '국토', '연구원', '하자', '문재인', '수급', '요인', '공급', '시장', '부동산', '인상', '인하', '주요', '보고서', '비판', '변동', '한국은행', '가장', '원인', '부족', '정작', '당시', '검증', '배경', '시기', '분석', '자금', '기여']",언론 보도,0
33,남는 쌀 정부 매입 의무화하면 쌀값 떨어진다,"['쌀값', '정부', '생산', '시장', '양곡', '의무', '격리', '가격', '안정', '소득', '매입', '수급', '보전', '관리', '정책', '농민', '보고서', '분석', '개정안', '농림축산식품부', '개정', '재정', '농가', '확대', '제도', '도입', '직불제', '과잉', '국회', '인터뷰', '농식품부', '부담', '폭락', '단체', '경연', '직접', '검증', '추곡', '성과', '실증', '비량', '연간', '재배', '면적', '식량', '손실']",정황근,0
34,1만 원권과 5만 원권 사이 지폐로는 3만 원권이 적합하다,"['체계', '화폐', '액면', '의원', '한국은행', '한국', '단위', '사이', '사용', '국민', '내용', '지폐', '검증', '하태경', '자신', '페이스북', '발행', '도입', '중간', '세계', '설명', '나라']",하태경,0
35,후불결제 서비스는 연체해도 신용점수 안 떨어진다,"['결제', '후불', '서비스', '연체', '신용', '금융', '이용', '페이', '평가', '기업', '네이버', '신용카드', '정보', '카카오', '대안', '심사', '관계자', '대금', '파이', '혁신', '채권', '낸셜', '지정', '한도', '일부', '절차', '신용등급', '영향', '때문', '추심', '검증', '인터뷰', '고객', '거래', '경우', '자체', '해도', '금융위', '대응', '진행', '설명', '통해', '이력', '대해']",언론사 자체 문제제기,1
36,원희룡 국토교통부 장관의 규제를 푼다고 주택 가격이 오르지 않을 것이란 발언,"['가격', '분양', '영향', '규제', '연구', '매매', '전매', '아파트', '주택', '결과', '기준금리', '장관', '부동산', '완화', '분석', '검증', '원희룡', '금리', '발언', '변동', '대출', '상황', '전문가', '연구원', '관계', '자료', '정부', '상승', '강화', '지역', '국토', '택시', '통화', '금융정책', '특성', '우리나라', '제한', '상한']",원희룡,0
37,한정판 자동차 사고로 인한 가치하락 보상 시 희소가치는 인정되지 않는다,"['보상', '자동차', '한정판', '사고', '가치', '차량', '하락', '가액', '규모', '보험', '모델', '희소가치', '보험료', '검증', '손해', '감가상각', '경우', '기준', '규정', '출고', '이내', '관련', '내용', '존재', '표준', '약관', '차이', '격락']",언론사 자체 문제 제기,1
38,법정최고금리가 낮아지면 취약차주들의 이자부담이 경감된다,"['최고', '금리', '법정', '부담', '취약', '이자', '차주', '대출', '사금융', '금융', '인하', '불법', '등록', '사실', '경우', '이자율', '오히려', '피해', '금융감독원', '지난', '신고', '법적', '절반', '서민', '제도', '신용등급', '의원', '자료', '추정']",윤상현,0
39,서울시가 독자적으로 노인 지하철 무임승차를 중단할 수 있다,"['노인', '무임', '승차', '중단', '지하철', '서울시', '할인', '요금', '서울시장', '연령', '복지', '오세훈', '인상', '여론', '축소', '대해', '이상', '변경', '권한', '시행', '국가']",언론사 자체 문제 제기,0
40,우리나라 법인세 실효세율이 국제적으로 높은 수준이다,"['세율', '법인세', '최고', '실효', '기업', '법인', '실제', '부담', '수준', '비교', '공제', '기준', '나라', '회원', '우리나라', '자료', '한국', '재정', '연구원', '경우', '다른', '보도', '보고서', '지방세', '국가', '세금', '적용', '국제', '참고', '국세', '개국', '조세', '정부', '인하', '과세표준', '소득', '대기업', '회계', '재정부', '포함', '국내', '각종', '납부', '집계', '검증', '교수', '국세청', '데이터', '전체', '과표', '제도', '공식']",기획재정부,0
41,빌라왕 급사 전세금 다 돌려받을 방법 있다,"['보증금', '상속', '보증', '반환', '임차', '보험', '절차', '전세', '주택', '빌라', '세금', '사망', '가입', '집주인', '재산', '조차', '입자', '관리인', '대위변제', '검증', '기간', '피해', '먼저', '시작', '부모', '계약', '구상권', '청구', '진행', '경우', '피해자', '보유', '임대', '업자', '갑자기', '정부', '모두', '가입자', '가장', '이내', '법원', '임대차', '해지', '통보', '심사', '공사', '약관', '이행', '조항', '사람', '소유', '부동산', '결과', '상속인', '선임']",언론사 자체 문제제기,0
42,제로 칼로리 음료 정말로 칼로리 없다,"['칼로리', '제로', '음료', '표시', '설탕', '감미료', '인공', '식품', '단맛', '검증', '칼륨', '미만', '코카콜라', '아스파탐', '실제', '매우', '광고', '경우', '펩시']",언론사 자체 문제제기,1
43,내년도 노인 일자리 수와 예산이 줄었다,"['일자리', '노인', '내년', '정부', '공공', '예산', '민간', '고용', '고령자', '올해', '사회', '서비스', '장려', '예산안', '증가', '근로', '기업', '검증', '이재명', '민주당', '대표', '삭감', '인터뷰', '통해', '결과', '주장', '기획재정부', '사업', '지원', '형태', '금은', '채용']",이재명,0
44,국내 전기차 보조금 테슬라가 싹쓸이했다,"['보조금', '전기차', '지급', '미국', '현황', '국내', '환경부', '국적', '언론', '보도', '상반기', '비중', '검증', '인플레이션', '감축', '차별', '정책', '전기', '테슬라', '팩트', '자료', '제공', '제조', '사별']",언론보도,0
45,안전운임제 적용 이후 화물차 교통사고가 줄어들었다,"['운임', '안전', '화물', '시행', '화물차', '정부', '주장', '한국', '교통사고', '연대', '적용', '효과', '사고', '교통', '연구원', '부터', '한시', '감소', '영향', '각각', '확인', '제의', '제도', '이후', '검증', '분석', '결과']",언론사 자체 문제제기,0
46,금융투자소득세 도입하면 개미투자자들이 피해 본다,"['투사', '투자자', '의원', '주식', '개인', '피해', '도입', '주식시장', '국민', '세금', '입장', '주장', '일종', '금융', '위원', '민주당', '개미', '투자', '시행', '유예', '금투세', '상황', '이탈', '경우', '당시', '소득', '이유', '예정', '대로', '강행', '보유', '증권', '발언', '대해', '설명', '소득세', '경제', '학계', '정부', '한국', '대만', '회의', '상위', '전체', '침체', '결과', '사실', '거대', '논리', '나라', '연구', '여야', '문제', '주주', '현재', '부과', '우리나라']",성일종,0
47,각 분야 유명 스타트업이 흔들리고 있다,"['스타트업', '매각', '투자', '기업', '사업', '서비스', '플랫폼', '경영', '글로벌', '정리해고', '기업가', '금리', '인상', '대규모', '여파', '국내', '네트워크', '운영', '크리에이터', '수익']",언론사 자체 문제제기,1
48,유럽 선진국에서도 파업 손해배상 청구가 가능하다,"['파업', '행위', '불법', '청구', '손해배상', '손해', '쟁의', '프랑스', '영국', '판례', '노동조합', '대해', '배상', '독일', '경우', '대한', '경영', '유럽', '국가', '주장', '규정']",한국경영자총협회,0
49,전기차는 화재에 취약하다,"['화재', '전기차', '발생', '배터리', '내연기관차', '실제', '자동차', '시험', '안전', '대한', '검증', '기준', '지난', '사실', '원인', '차량', '취약', '안전성', '요인', '관리', '대전', '추정', '결과', '내연기관', '확인', '소비자', '기존', '소방청', '통계', '위험', '확보', '위해', '올해', '증가', '국토교통부', '정부']","SNS, 온라인 커뮤니티, 다수 언론의 보도",0
50,식품 겉면 판매 1위 하고 싶다 문구는 표시광고법 위반이다,"['광고', '소비자', '해당', '기만', '표시', '오인', '소지', '표현', '식약처', '글씨', '오해', '자유', '소시지', '위반', '식품', '마케팅', '대해', '만큼', '주장', '전문가', '판단', '표기', '판매', '실제', '인증', '도안', '범주', '경우']",식품 겉면에 표기된 '1위 하고싶다'는 문구,0
51,올해 종합부동산세가 지난해보다 줄어들 것이다,"['주택', '종부세', '가구', '세액', '올해', '평균', '자의', '부담', '부동산', '정부', '지난해', '공시가격', '크게', '공정', '시장', '감소', '부과', '기준', '때문', '검증', '과세표준', '결정', '가액', '비율', '윤석열', '완화', '조치', '가까이', '인상', '특별', '공제', '법안', '야당', '반대', '절반', '사실', '판단']",언론사 자체 문제 제기,0
52,EU의 역외 보조금 규제 도입으로 인해 해외진출 기업의 부담 커진다,"['보조금', '규제', '역외', '기업', '세미나', '상공회의소', '대응', '경쟁', '동향', '무역', '협회', '법안', '미국', '방안', '보도자료', '한국', '우리', '조사', '법무', '법인', '세종', '최근', '입법', '개최', '유럽', '해외', '진출', '부담', '내용', '시장', '주요', '당국', '회장', '최태원', '공동', '관련', '검증', '수출', '입장', '추진', '제출', '합병', '조달', '정부', '주의', '변호사', '투자', '대해']",대한상공회의소,1
53,냉동식품 분할을 위해 일시적 해동 후 재냉동이 된 식품은 안전하다,"['해동', '식품', '냉동', '식약처', '냉동식품', '허용', '기준', '분할', '보관', '일시', '위해', '개정안', '관리', '냉장', '소비자', '생산', '규격', '경우', '국민', '개정', '통해', '검증', '구관', '원료', '위생', '일반', '지난달', '편의', '라며', '품질', '목적', '판매', '그간', '발생', '우려', '서울', '인터뷰', '이번', '항목']",언론사 자체 문제 제기,1
54,재건축부담금 낮춰도 재건축 사업 활성화하기 어렵다,"['재건축', '부담', '초과', '이익', '주택', '제도', '부과', '방안', '사업', '환수', '활성화', '시장', '합리화', '발표', '도입', '부동산', '국토교통부', '이후', '유예', '집값', '공급', '핵심', '면제', '확대', '서민', '주거', '안정', '지난', '당시', '대상', '현실', '지적', '상승', '개선', '금액', '구간', '현행', '검증', '투기', '대책', '위해', '정부', '사회', '법률', '부터', '조정']",언론사 자체 문제 제기,1
55,전세가율은 깡통전세의 판단기준이다,"['전세', '가율', '깡통', '보증금', '판단', '기준', '가격', '입자', '주택', '매매', '가능성', '부동산', '차지', '의미', '집주인', '정보', '실제', '전셋집', '검증', '경우', '경매', '또한', '주요', '비중', '연구원', '설명', '피해', '여부', '여러']",언론사 자체 문제 제기,1
56,한국 메모리 반도체 세계 1위는 착시현상이다,"['반도체', '국회', '입법조사처', '산업', '메모리', '글로벌', '보고서', '세계', '경쟁력', '이슈', '현재', '우리', '확보', '생태계', '주요', '이해', '착시현상', '작성', '시스템', '지난', '통해', '구절', '진실', '우리나라', '기술']",국회입법조사처,0
57,국내 소부장 자립화를 위해 천문학적인 돈을 부었지만 중국 의존도만 높아지는 결과 초래했다,"['일본', '의존', '부장', '의원', '산업', '정부', '자립', '품목', '소재', '수입', '중국', '반도체', '한국', '위해', '투입', '자원부', '부품', '수출', '통산', '명호', '국내', '천문학', '국가', '중화권', '주장', '관계자', '문재인', '결과', '초래', '지적', '사실', '기간', '증가', '검증', '지난', '통상', '장비', '자료', '불화수소', '레지스터', '불화', '규제', '삼성', '당시', '다변', '역시']",권명호,0
58,전기요금 올리면 무역적자 개선된다,"['전기', '요금', '전력', '달러', '산업', '개선', '인상', '비량', '예측', '무역수지', '한국전력', '수요', '수입', '경제', '산업부', '감소', '차관', '에너지', '근거', '가격탄력성', '검증', '통상', '자원부', '가격', '언급', '보고서', '전량', '추이', '인터뷰', '평균', '정부']",장영진,0
59,금리인하요구권을 사용했다가 오히려 금리가 오를 수 있다,"['금리', '요구', '인하', '변동', '가산', '시점', '금융', '불이익', '대출', '조정', '검증', '적용', '인상', '금리인하', '행사', '거절', '오히려', '금융기관', '코픽스', '변경', '개월', '개인', '경우', '신용등급', '우려', '사용', '고정', '상태', '약정', '은행', '관계자', '가입', '가지']",네이버 지식인 질문자,0
60,정부가 해외 주식 양도세를 완화해 준다,"['주식', '정부', '해외', '검증', '커뮤니티', '완화', '방안', '투자자', '온라인', '차익', '부과', '양도소득세', '일시', '해당', '조치', '추측', '기본', '도세']",인터넷 커뮤니티,0
61,국제에너지기구에서 2025년까지 화석연료 보일러 사용 금지를 제안했다,"['에너지', '보일러', '자산운용', '석탄', '보고서', '투자', '금지', '중단', '화석연료', '한국', '대한', '세계', '보험', '로드맵', '가스', '화력발전', '탄소', '손해', '통해', '국제', '넷제', '부문', '신규', '발표', '건물', '선언', '발전', '국가', '양훈', '기술평가원', '위원', '박사', '자신', '블로그', '도입', '사실', '기구', '일보', '오스트리아', '영국', '네덜란드', '기업', '사용', '검증', '참고', '기후', '콘덴싱', '평가', '달성', '제한', '미국']",양훈철,1
62,한미 통화스와프가 환율 급등을 막을 수 있다,"['환율', '스와프', '통화', '달러', '한미', '한국은행', '통계', '미국', '효과', '발표', '대한', '체결', '유동성', '금융', '지난달', '올해', '폭등', '국내', '기록', '외환시장', '급등', '안정', '조사', '월보', '문제', '경제', '시스템', '한국', '코스피', '개월', '이후', '상황', '시장', '대표']",언론사 자체 문제제기,1
63,9월 자동차보험 갱신 시점에 보험료 할증됐는데 침수차량이 많아서 그렇다,"['보험료', '자동차', '보험', '손해', '갱신', '시점', '가입자', '인상', '최근', '침수', '특성', '온라인', '보험사', '태풍', '금융감독원', '가이드', '악화', '연간', '기준', '다음', '조정', '반영', '산정', '기본', '할증', '사고', '차등', '요인', '검증', '방식']",온라인 커뮤니티,0
64,전기차 수출 기업들의 미국 시장 피해는 외교실패에서 온 경제실패다,"['로시', '의장', '대통령', '미국', '전기차', '법안', '외교', '대표', '기자', '통과', '패싱', '한국', '사건', '피해', '실패', '기사', '국산', '보조금', '배제', '방한', '하원', '이재명', '민주당', '사실', '블룸버그', '억측', '경제', '확인', '면담', '교수', '라며']",이재명,0
